,R,G,B
817,150.6832,112.0484,58.546800000000005
818,150.59480000000002,111.6288,58.2648
819,148.8128,110.86,59.048
820,147.9564,110.23960000000001,58.299200000000006
821,147.01000000000002,109.0796,58.6548
822,144.47480000000002,107.8512,58.0908
823,143.3052,106.4092,56.8016
824,141.868,105.3788,56.708000000000006
825,140.2824,104.7056,56.382000000000005
826,139.1916,103.66120000000001,54.9196
827,137.888,102.47760000000001,55.031600000000005
828,137.888,102.47760000000001,55.031600000000005
829,134.514,99.1648,52.7584
830,132.336,97.0528,51.952400000000004
831,130.90120000000002,95.61240000000001,50.804
832,129.6052,94.2984,49.4148
833,128.66320000000002,93.4128,48.3896
834,128.5988,92.9216,48.332
835,128.9068,93.6404,47.784800000000004
836,128.83,93.2168,47.946000000000005
837,129.9356,94.06320000000001,47.4728
838,129.9356,94.06320000000001,47.4728
839,131.1432,95.02720000000001,47.653600000000004
840,132.4136,96.1684,48.863600000000005
841,136.14440000000002,99.568,49.1968
842,137.54600000000002,100.5308,48.7272
843,137.91320000000002,100.7996,48.276
844,138.15800000000002,100.8872,48.519200000000005
845,138.3316,100.818,49.025600000000004
846,138.52800000000002,100.97720000000001,47.5584
847,138.542,100.848,46.9132
848,138.6224,101.0672,47.1912
849,138.6224,101.0672,47.1912
850,138.7552,100.87480000000001,46.7376
851,138.4504,100.5648,45.7168
852,138.4548,100.164,45.6768
853,137.4088,99.37360000000001,45.577200000000005
854,136.4736,98.696,44.8468
855,134.5696,98.0164,45.834
856,132.52960000000002,97.0184,47.196400000000004
857,132.9592,97.74600000000001,47.5092
