R,G,B
163.1724,114.226,69.06920000000001
164.0404,114.54400000000001,68.9364
163.256,112.69000000000001,66.2264
164.3676,114.67280000000001,67.8184
165.26000000000002,114.182,67.2296
164.3324,112.89240000000001,64.2924
165.69240000000002,114.7288,66.7924
165.5576,113.89800000000001,65.5836
165.26160000000002,112.77600000000001,64.312
166.57080000000002,114.8288,66.18480000000001
165.86280000000002,113.46640000000001,63.54600000000001
165.2324,112.82480000000001,63.973200000000006
166.07840000000002,114.70200000000001,65.778
165.92960000000002,112.84440000000001,62.6736
164.9036,112.84960000000001,62.985200000000006
166.3656,114.00760000000001,65.134
165.508,112.0356,61.769600000000004
164.78480000000002,112.9988,63.0884
166.22480000000002,113.962,64.56880000000001
164.9196,111.81240000000001,61.7928
165.0208,113.1876,64.00280000000001
166.19400000000002,113.61840000000001,63.8652
165.2868,111.7916,61.6276
165.8308,113.76520000000001,64.0924
166.7964,113.6088,63.732800000000005
165.6288,111.9496,62.3044
166.34,114.1068,64.3004
166.7988,113.37960000000001,63.1028
165.62480000000002,112.38080000000001,62.72280000000001
167.0812,114.3144,64.6996
167.3092,114.0244,62.373200000000004
167.8136,114.2188,62.46
167.8136,114.2188,62.46
170.10840000000002,116.43440000000001,63.939600000000006
170.53320000000002,117.2364,65.78880000000001
172.3836,119.9304,67.8084
171.83280000000002,118.3644,65.81920000000001
172.5164,119.31400000000001,67.29520000000001
173.82680000000002,121.21000000000001,68.102
173.3312,119.5472,66.4948
173.7484,121.0792,68.6068
174.9212,122.4028,70.3656
173.4828,120.74480000000001,67.3284
173.4828,120.74480000000001,67.3284
174.39960000000002,122.88480000000001,71.0092
174.6156,121.7232,69.56880000000001
175.1772,124.134,72.80120000000001
175.74120000000002,123.86120000000001,71.4616
174.5512,122.4752,70.11240000000001
175.3908,124.8156,72.9756
175.8948,123.4208,71.41640000000001
174.87560000000002,122.8392,70.158
175.78920000000002,124.70840000000001,73.66
175.78920000000002,124.70840000000001,73.66
175.118,122.99080000000001,70.9252
175.17520000000002,122.59920000000001,71.67320000000001
176.3564,125.41520000000001,74.35560000000001
175.7792,124.90320000000001,73.1684
176.9088,126.17320000000001,75.5236
176.2492,124.45840000000001,72.7776
176.43200000000002,125.366,75.236
176.6928,126.14720000000001,75.4796
175.2208,123.744,72.4544
175.3172,125.0044,75.5052
175.3172,125.0044,75.5052
174.8632,124.9744,76.02080000000001
173.4488,122.49600000000001,73.2984
173.1788,124.2288,75.5172
173.348,123.622,75.0604
173.2072,123.9064,75.8756
172.97320000000002,123.3416,74.544
172.3488,122.2496,74.4768
173.23520000000002,124.11720000000001,76.7132
172.72400000000002,122.9496,74.5216
172.282,122.5492,74.7016
172.282,122.5492,74.7016
173.356,124.02000000000001,76.5428
172.3188,122.26520000000001,74.08720000000001
172.1012,122.4248,75.0532
172.4496,123.6764,77.3392
171.22920000000002,121.5048,74.91720000000001
170.7584,123.2244,77.9256
169.596,121.15400000000001,76.0308
169.80360000000002,122.6872,78.4628
170.52200000000002,122.8752,78.2804
170.52200000000002,122.8752,78.2804
169.4932,121.0112,75.0796
170.2444,122.95320000000001,78.4756
169.7612,122.6516,78.2372
168.864,121.24040000000001,76.8884
169.9112,123.13680000000001,78.74000000000001
169.62720000000002,122.2664,78.45360000000001
168.5508,121.24080000000001,77.524
168.7824,121.4756,78.03
167.506,121.00800000000001,77.92840000000001
168.32920000000001,123.02640000000001,80.62400000000001
168.32920000000001,123.02640000000001,80.62400000000001
167.6124,121.1084,78.608
167.09040000000002,121.268,78.0108
168.3648,122.8236,80.7852
167.9548,120.9612,77.94720000000001
